SALE|20210928|Dana Wyatt|dana@texas.com|10112|1993|Ford|Explorer|SUV|Red|525123|995.00|49.75|100.00|295.00|1439.75|NO|0.00
SALE|20210929|Liam Smith|liam@texas.com|10234|2018|Toyota|Camry|Sedan|Blue|120000|25000.00|1250.00|90.00|200.00|1540.00|YES|0.00
LEASE|20210930|Noah Williams|noah@texas.com|20984|2021|Ford|Mustang|Coupe|Yellow|5000|35000.00|17500.00|2630.00|30250.00|635.00
SALE|20211001|Sophia Jones|sophia@texas.com|39192|2017|Chevrolet|Malibu|Sedan|Green|25000|20000.00|1000.00|75.00|150.00|1225.00|NO|0.00
LEASE|20211002|Mason Lee|mason@texas.com|29583|2021|Honda|Civic|Sedan|White|15000|24000.00|12000.00|1800.00|13000.00|500.00
SALE|20211003|Isabella Hernandez|isabella@texas.com|97834|2019|Volkswagen|Jetta|Sedan|Black|50000|19000.00|950.00|70.00|130.00|1170.00|YES|0.00
LEASE|20211004|Ethan Young|ethan@texas.com|45672|2021|Chevrolet|Silverado|Truck|Black|2750|31995.00|15997.50|2239.65|18337.15|541.39
SALE|20211005|Charlotte Hall|charlotte@texas.com|21347|2020|Nissan|Rogue|SUV|Silver|30000|23000.00|1150.00|85.00|180.00|1415.00|NO|0.00
SALE|20211006|Mia Perez|mia@texas.com|36928|2020|Hyundai|Elantra|Sedan|Gray|12000|23000.00|1150.00|80.00|160.00|1390.00|NO|0.00
LEASE|20211007|James Garcia|james@texas.com|48292|2020|Toyota|Tacoma|Truck|Orange|10000|32500.00|16250.00|2400.00|20000.00|550.00
SALE|20211008|Olivia Brown|olivia@texas.com|58392|2019|Subaru|Outback|SUV|Brown|15000|30000.00|15000.00|2200.00|18000.00|610.00
LEASE|20211009|Ava Martinez|ava@texas.com|28373|2021|Ford|F-150|Truck|Blue|3000|40000.00|20000.00|3000.00|35000.00|690.00
SALE|20211010|Liam Smith|liam@texas.com|10234|2018|Mazda|CX-5|SUV|Red|25000|22000.00|1100.00|85.00|175.00|1360.00|NO|0.00
LEASE|20211011|Ethan Young|ethan@texas.com|45672|2021|Kia|Sportage|SUV|Silver|20000|28500.00|14250.00|2000.00|15000.00|580.00
SALE|20211012|Isabella Hernandez|isabella@texas.com|97834|2019|Chevrolet|Equinox|SUV|Black|30000|23000.00|1150.00|85.00|180.00|1415.00|YES|0.00
LEASE|20211013|Zachary Westly|zach@texas.com|37846|2021|Honda|Accord|Sedan|Green|12000|26000.00|13000.00|1950.00|19500.00|570.00
SALE|20211014|Mia Perez|mia@texas.com|36928|2021|Ford|Escape|SUV|White|15000|27000.00|1350.00|90.00|200.00|1640.00|NO|0.00
LEASE|20211015|Liam Smith|liam@texas.com|10234|2021|Toyota|RAV4|SUV|Silver|20000|29000.00|14500.00|2185.00|19000.00|600.00
SALE|20211016|Charlotte Hall|charlotte@texas.com|21347|2020|Nissan|Altima|Sedan|Gray|18000|22000.00|1100.00|80.00|160.00|1390.00|NO|0.00
SALE|20211017|Ethan Young|ethan@texas.com|45672|2020|Volkswagen|Tiguan|SUV|Black|12000|32000.00|1600.00|100.00|210.00|1910.00|YES|0.00
LEASE|20211018|Zachary Westly|zach@texas.com|37846|2021|Hyundai|Santa Fe|SUV|Red|5000|33000.00|16500.00|2475.00|19000.00|620.00
SALE|20211019|Sophia Jones|sophia@texas.com|39192|2017|Chevrolet|Cruze|Sedan|Blue|25000|15000.00|750.00|50.00|100.00|900.00|NO|0.00
LEASE|20211020|Liam Smith|liam@texas.com|10234|2021|Toyota|Corolla|Sedan|White|3000|25000.00|12500.00|1875.00|11000.00|450.00
SALE|20211021|Olivia Brown|olivia@texas.com|58392|2020|Mazda|3|Sedan|Gray|5000|21000.00|1050.00|70.00|120.00|1240.00|YES|0.00
LEASE|20211022|James Garcia|james@texas.com|48292|2020|Subaru|Forester|SUV|Brown|8000|27000.00|13500.00|2025.00|13000.00|560.00
SALE|20211023|Isabella Hernandez|isabella@texas.com|97834|2019|Honda|Fit|Hatchback|Red|18000|18000.00|900.00|60.00|130.00|1090.00|NO|0.00
LEASE|20211024|Ethan Young|ethan@texas.com|45672|2021|Ford|Explorer|SUV|Green|4000|36000.00|18000.00|2700.00|22000.00|640.00
SALE|20211025|Mia Perez|mia@texas.com|36928|2021|Kia|Soul|Hatchback|Blue|6000|22000.00|1100.00|80.00|150.00|1390.00|YES|0.00
LEASE|20211026|Ava Martinez|ava@texas.com|28373|2021|Chevrolet|Trax|SUV|Silver|2500|25000.00|12500.00|1875.00|13000.00|480.00
SALE|20211027|Charlotte Hall|charlotte@texas.com|21347|2020|Nissan|370Z|Coupe|Red|10000|42000.00|2100.00|150.00|300.00|2400.00|NO|0.00
LEASE|20211028|Zachary Westly|zach@texas.com|37846|2021|Toyota|Sienna|Van|White|5000|35000.00|17500.00|2630.00|25000.00|600.00
SALE|20211029|Sophia Jones|sophia@texas.com|39192|2017|Hyundai|Tucson|SUV|Black|20000|24000.00|1200.00|100.00|200.00|1500.00|YES|0.00
LEASE|20211030|Liam Smith|liam@texas.com|10234|2021|Chevrolet|Impala|Sedan|Gray|8000|30000.00|15000.00|2200.00|15000.00|550.00
